ID;Intervention Chirurgicale;stress chir cortico;Antibioprophylaxie;Dose;Alternative;Dose Alternative;SPECIALITE;RISQUE HEMORRAGIQUE;CONTRÔLE HEMORRAGIQUE;GRAVITE_V;GRAVITE_F;IOT;ALR;ALR_ALTERATIVE
GYN-PMA-03;Transfert intra-utérin d'embryon, par voie vaginale;faible;PAS D'ANTIBIOPROPHYLAXIE (Considérer une antibioprophylaxie par céfazoline limitée à la période opératoire en cas d’endométriose, d’antécédent de chirurgies pelviennes ou d’infection génitale haute);N/A;N/A;N/A;GYNECOLOGIE;FAIBLE;STANDARD;1;1;STANDARD;AUCUNE;LOCALE
GYN-RAD-01;Embolisation de fibromes utérins;;PAS D'ANTIBIOPROPHYLAXIE;N/A;N/A;N/A;GYNECOLOGIE;IMPORTANT;STANDARD;1;1;STANDARD;AUCUNE;LOCALE+SEDATION
GYN-RAD-02;Embolisation de varices pelviennes (sans abord chirurgical du scarpa);;PAS D'ANTIBIOPROPHYLAXIE;N/A;N/A;N/A;GYNECOLOGIE;IMPORTANT;STANDARD;1;1;STANDARD;AUCUNE;LOCALE+SEDATION
OBS-ACC-01;Accouchement par césarienne programmée ou en urgence, en dehors ou en cours de travail;;Céfazoline (Injection de l’antibioprophylaxie en cas de césarienne selon les mêmes modalités que pour les autres chirurgies, soit, autant que possible, avant l’incision);2 g IVL initialement, puis 1 g si durée > 4h, toutes les 4h;Clindamycine 900 mg IVL;900 mg;OBSTETRIQUE;IMPORTANT;STANDARD;1;1;STANDARD;APD-RA;APD-RA
OBS-HEM-01;Suture du corps de l'utérus pour rupture obstétricale;;Céfazoline (Injection de l’antibioprophylaxie en cas de césarienne selon les mêmes modalités que pour les autres chirurgies, soit, autant que possible, avant l’incision);2 g IVL initialement, puis 1 g si durée > 4h, toutes les 4h;Clindamycine 900 mg IVL;900 mg;OBSTETRIQUE;MAJEUR;STANDARD;2;3;STANDARD;AUCUNE;APD-RA
OBS-GRO-01;Cerclage du col de l'utérus au cours de la grossesse, par voie transvaginale;faible;PAS D'ANTIBIOPROPHYLAXIE;N/A;N/A;N/A;OBSTETRIQUE;FAIBLE;STANDARD;1;1;STANDARD;AUCUNE;APD-RA
OBS-GRO-02;Ablation de cerclage du col de l'utérus;faible;PAS D'ANTIBIOPROPHYLAXIE;N/A;N/A;N/A;OBSTETRIQUE;FAIBLE;STANDARD;1;1;STANDARD;AUCUNE;APD-RA
OBS-HEM-02;Embolisation des artères iliaques internes et/ou de ses branches pour hémorragie du postpartum, par voie artérielle transcutanée;;PAS D'ANTIBIOPROPHYLAXIE;N/A;N/A;N/A;OBSTETRIQUE;IMPORTANT;STANDARD;2;1;STANDARD;AUCUNE;LOCALE+SEDATION
OBS-HEM-03;Tamponnement intra-utérin pour hémorragie obstétricale;;Céfazoline / Céfuroxime;"2 g IVL (Céfazoline) dose unique lors de la pose du ballon intra-utérin ; 1,5 g IVL (Céfuroxime) dose unique";"Si céfazoline : Clindamycine 900 mg IVL ; Si céfuroxime : Clindamycine 900 mg IVL + Gentamicine 6–7 mg/kg IVL";Respectivement 900 mg / 900 mg + 6–7 mg/kg;OBSTETRIQUE;MAJEUR;STANDARD;3;1;STANDARD;APD-RA;APD-RA
OBS-ACC-02;Révision de la cavité de l'utérus après délivrance naturelle;;Céfazoline / Céfuroxime;"2 g IVL (Céfazoline) dose unique lors de la révision ; 1,5 g IVL (Céfuroxime) dose unique";"Si céfazoline : Clindamycine 900 mg IVL ; Si céfuroxime : Clindamycine 900 mg IVL + Gentamicine 6–7 mg/kg IVL";Respectivement 900 mg / 900 mg + 6–7 mg/kg;OBSTETRIQUE;IMPORTANT;STANDARD;1;1;STANDARD;APD-RA;APD-RA
OBS-ACC-03;Extraction manuelle du placenta complet;;Céfazoline / Céfuroxime;"2 g IVL (Céfazoline) dose unique lors de la délivrance manuelle ; 1,5 g IVL (Céfuroxime) dose unique";"Si céfazoline : Clindamycine 900 mg IVL ; Si céfuroxime : Clindamycine 900 mg IVL + Gentamicine 6–7 mg/kg IVL";Respectivement 900 mg / 900 mg + 6–7 mg/kg;OBSTETRIQUE;IMPORTANT;STANDARD;1;1;STANDARD;APD-RA;APD-RA
OBS-ACC-04;Curetage de la cavité de l'utérus à visée thérapeutique;faible;PAS D'ANTIBIOPROPHYLAXIE;N/A;N/A;N/A;OBSTETRIQUE;IMPORTANT;STANDARD;1;1;STANDARD;APD-RA;APD-RA
OBS-HEM-04;Hystérectomie pour complications obstétricales, par laparotomie;;Céfoxitine;2 g IVL initialement, puis 1 g si durée > 2h, toutes les 2h;Clindamycine 900 mg IVL + Gentamicine 6–7 mg/kg IVL;Respectivement 900 mg + 6–7 mg/kg;OBSTETRIQUE;IMPORTANT;STANDARD;1;1;STANDARD;APD-RA;APD-RA
OBS-HEM-05;Ligature des artères iliaques internes pour hémorragie du post-partum, par laparotomie;;Céfazoline / Céfuroxime;"2 g IVL (Céfazoline) initialement, puis 1 g si durée > 4h, toutes les 4h ; 1,5 g IVL (Céfuroxime) initialement, puis 0,75 g si durée > 2h, toutes les 2h";"Si céfazoline : Clindamycine 900 mg IVL ; Si céfuroxime : Clindamycine 900 mg IVL + Gentamicine 6–7 mg/kg IVL";Respectivement 900 mg / 900 mg + 6–7 mg/kg;OBSTETRIQUE;MAJEUR;STANDARD;3;1;STANDARD;AUCUNE;LOCALE
OBS-HEM-06;Ligature des pédicules vasculaires de l'utérus pour hémorragie du post-partum, par laparotomie;;Céfazoline / Céfuroxime;"2 g IVL (Céfazoline) initialement, puis 1 g si durée > 4h, toutes les 4h ; 1,5 g IVL (Céfuroxime) initialement, puis 0,75 g si durée > 2h, toutes les 2h";"Si céfazoline : Clindamycine 900 mg IVL ; Si céfuroxime : Clindamycine 900 mg IVL + Gentamicine 6–7 mg/kg IVL";Respectivement 900 mg / 900 mg + 6–7 mg/kg;OBSTETRIQUE;MAJEUR;STANDARD;3;1;STANDARD;AUCUNE;AUCUNE
TRA-FRA-01;Ostéosynthèse par fixateur externe;;PAS D'ANTIBIOPROPHYLAXIE;N/A;N/A;N/A;TRAUMATOLOGIE;FAIBLE;STANDARD;1;3;STANDARD;BNP;RA
TRA-FRA-02;Ostéosynthèse par brochage percutané;;PAS D'ANTIBIOPROPHYLAXIE;N/A;N/A;N/A;TRAUMATOLOGIE;FAIBLE;STANDARD;1;1;STANDARD;BNP;RA
TRA-FRA-03;Ostéosynthèse à foyer ouvert (tout type de matériel) ou enclouage;;Céfazoline;2 g IVL initialement, puis 1 g si durée > 4h, toutes les 4h;"Fractures fermées : Clindamycine 900 mg IV ; Fractures ouvertes / plaies souillées : Clindamycine 900 mg IV + Gentamicine 6–7 mg/kg";Respectivement 900 mg / 900 mg + 6–7 mg/kg;TRAUMATOLOGIE;FAIBLE;STANDARD;1;1;STANDARD;BNP;RA
TRA-OUV-01;Fracture ouverte Gustilo 1, quel que soit le matériel mis en place;;Céfazoline;2 g IVL initialement, puis 1 g si durée > 4h, toutes les 4h;Fractures ouvertes : Clindamycine 900 mg IV + Gentamicine 6–7 mg/kg;Respectivement 900 mg + 6–7 mg/kg;TRAUMATOLOGIE;FAIBLE;STANDARD;1;3;STANDARD;BNP;RA
TRA-OUV-02;Fracture ouverte Gustilo 2 ou 3, quel que soit le matériel mis en place;;Amoxicilline/Clavulanate / Céfazoline + Gentamicine;"2 g IVL (Amoxicilline/Clavulanate) initialement, puis 1 g si durée > 2h, toutes les 2h ; 2 g IVL (Céfazoline) + Gentamicine dose unique (6–7 mg/kg)";Fractures ouvertes : Clindamycine 900 mg IV + Gentamicine 6–7 mg/kg;Respectivement 900 mg + 6–7 mg/kg;TRAUMATOLOGIE;FAIBLE;STANDARD;1;3;STANDARD;BNP;RA
TRA-MOL-01;Plaie des parties molles souillée macroscopiquement par une contamination tellurique et/ou fécale;faible;Amoxicilline/Clavulanate;2 g IVL initialement, puis 1 g si durée > 2h, toutes les 2h;Clindamycine 900 mg IV + Gentamicine 6–7 mg/kg;Respectivement 900 mg + 6–7 mg/kg;TRAUMATOLOGIE;FAIBLE;STANDARD;1;3;STANDARD;BNP;RA
TRA-MOL-02;Autre plaie des parties molles;;PAS D'ANTIBIOPROPHYLAXIE;N/A;N/A;N/A;TRAUMATOLOGIE;FAIBLE;STANDARD;1;3;STANDARD;BNP;RA
TRA-MOL-03;Morsure;;Amoxicilline/Clavulanate;2 g IVL initialement, puis 1 g si durée > 2h, toutes les 2h;Clindamycine 900 mg IV + Gentamicine 6–7 mg/kg;Respectivement 900 mg + 6–7 mg/kg;TRAUMATOLOGIE;FAIBLE;STANDARD;1;3;STANDARD;BNP;RA
TRA-MOL-04;Plaie articulaire;;Céfazoline;2 g IVL initialement, puis 1 g si durée > 4h, toutes les 4h;Clindamycine 900 mg IV + Gentamicine 6–7 mg/kg;Respectivement 900 mg + 6–7 mg/kg;TRAUMATOLOGIE;FAIBLE;STANDARD;1;3;STANDARD;BNP;RA
TRA-FRA-04;Ostéosynthèse de fracture(s) fermée(s) par fixateur externe;;PAS D'ANTIBIOPROPHYLAXIE;N/A;N/A;N/A;TRAUMATOLOGIE;FAIBLE;STANDARD;1;3;STANDARD;BNP;RA
TRA-FRA-05;Ostéosynthèse de fracture(s) fermée(s) par brochage percutané;;PAS D'ANTIBIOPROPHYLAXIE;N/A;N/A;N/A;TRAUMATOLOGIE;FAIBLE;STANDARD;1,00;1,00;STANDARD;BNP;RA
TRA-FRA-06;Ostéosynthèse de fracture(s) fermée(s) à foyer ouvert (tout type de matériel);;Céfazoline;2 g IVL initialement, puis 1 g si durée > 4h, toutes les 4h;Clindamycine 900 mg IV;900 mg;TRAUMATOLOGIE;FAIBLE;STANDARD;1,00;1,00;STANDARD;BNP;RA
TRA-MOL-05;Plaie de la main (dont plaie articulaire) non souillée macroscopiquement par une contamination tellurique et/ou fécale;;PAS D'ANTIBIOPROPHYLAXIE;N/A;N/A;N/A;TRAUMATOLOGIE;FAIBLE;STANDARD;1,00;2,00;STANDARD;BNP;LOCALE
TRA-OUV-03;Fractures ouvertes (hors traumatismes complexes);;PAS D'ANTIBIOPROPHYLAXIE;N/A;N/A;N/A;TRAUMATOLOGIE;FAIBLE;STANDARD;1,00;1,00;STANDARD;BNP;RA
TRA-MOL-06;Traumatisme de la dernière phalange;;PAS D'ANTIBIOPROPHYLAXIE;N/A;N/A;N/A;TRAUMATOLOGIE;FAIBLE;STANDARD;1,00;1,00;STANDARD;BNP;LOCALE
DIG-OES-01;Oesophagectomie;;Céfazoline / Céfuroxime;"2 g IVL (Céfazoline) initialement, puis 1 g si durée > 4h, toutes les 4h ; 1,5 g IVL (Céfuroxime) initialement, puis 0,75 g si durée > 2h, toutes les 2h";Vancomycine 20 mg/kg IVL ou Téicoplanine 12 mg/kg IVL;Respectivement 20 mg/kg IVL / 12 mg/kg IVL;DIGESTIVE;IMPORTANT;STANDARD;3,00;1,00;SELECTIF;AUCUNE;APD
DIG-OES-02;Excision de tumeur de l’oesophage;;Céfazoline / Céfuroxime;"2 g IVL (Céfazoline) initialement, puis 1 g si durée > 4h, toutes les 4h ; 1,5 g IVL (Céfuroxime) initialement, puis 0,75 g si durée > 2h, toutes les 2h";Vancomycine 20 mg/kg IVL ou Téicoplanine 12 mg/kg IVL;Respectivement 20 mg/kg IVL / 12 mg/kg IVL;DIGESTIVE;IMPORTANT;STANDARD;3,00;1,00;STANDARD;AUCUNE;AUCUNE
DIG-OES-03;Traitement d’un diverticule de l'oesophage;;Céfazoline / Céfuroxime;"2 g IVL (Céfazoline) initialement, puis 1 g si durée > 4h, toutes les 4h ; 1,5 g IVL (Céfuroxime) initialement, puis 0,75 g si durée > 2h, toutes les 2h";Vancomycine 20 mg/kg IVL ou Téicoplanine 12 mg/kg IVL;Respectivement 20 mg/kg IVL / 12 mg/kg IVL;DIGESTIVE;IMPORTANT;STANDARD;2,00;1,00;STANDARD;AUCUNE;AUCUNE
DIG-OES-04;Gastrectomie totale, totalisation de gastrectomie;;Céfazoline / Céfuroxime;"2 g IVL (Céfazoline) initialement, puis 1 g si durée > 4h, toutes les 4h ; 1,5 g IVL (Céfuroxime) initialement, puis 0,75 g si durée > 2h, toutes les 2h";Vancomycine 20 mg/kg IVL ou Téicoplanine 12 mg/kg IVL;Respectivement 20 mg/kg IVL / 12 mg/kg IVL;DIGESTIVE;IMPORTANT;STANDARD;2,00;1,00;STANDARD;AUCUNE;APD
DIG-OES-05;Gastrectomie partielle;;Céfazoline / Céfuroxime;"2 g IVL (Céfazoline) initialement, puis 1 g si durée > 4h, toutes les 4h ; 1,5 g IVL (Céfuroxime) initialement, puis 0,75 g si durée > 2h, toutes les 2h";Vancomycine 20 mg/kg IVL ou Téicoplanine 12 mg/kg IVL;Respectivement 20 mg/kg IVL / 12 mg/kg IVL;DIGESTIVE;IMPORTANT;STANDARD;2,00;1,00;STANDARD;AUCUNE;APD
DIG-BAR-01;Mise en place d’un anneau gastrique;;Céfazoline;2 g IVL initialement, puis 1 g si durée > 4h, toutes les 4h;Vancomycine 20 mg/kg IVL ou Téicoplanine 12 mg/kg IVL;Respectivement 20 mg/kg IVL / 12 mg/kg IVL;DIGESTIVE;FAIBLE;STANDARD;1,00;1,00;STANDARD;AUCUNE;AUCUNE
DIG-BAR-02;Réalisation d’un court-circuit gastrique ou d’une « sleeve » gastrectomie;;Céfoxitine;2 g IVL initialement, puis 1 g si durée > 2h, toutes les 2h;Gentamicine 6–7 mg/kg IVL + Métronidazole 1 g IVL;Respectivement 6–7 mg/kg IVL + 1 g IVL;DIGESTIVE;FAIBLE;STANDARD;2,00;1,00;STANDARD;AUCUNE;AUCUNE
DIG-INT-01;Résection de l’intestin grêle;;Céfoxitine;2 g IVL initialement, puis 1 g si durée > 2h, toutes les 2h;Gentamicine 6–7 mg/kg IVL + Métronidazole 1 g IVL;Respectivement 6–7 mg/kg IVL + 1 g IVL;DIGESTIVE;FAIBLE;STANDARD;1;1;STANDARD;AUCUNE;APD
DIG-INT-02;Entérostomie cutanée, par laparotomie;;Céfoxitine;2 g IVL initialement, puis 1 g si durée > 2h, toutes les 2h;Gentamicine 6–7 mg/kg IVL + Métronidazole 1 g IVL;Respectivement 6–7 mg/kg IVL + 1 g IVL;DIGESTIVE;FAIBLE;STANDARD;1;1;STANDARD;AUCUNE;APD
DIG-INT-03;Colectomie;;Tobramycine + Métronidazole (veille au soir), Céfoxitine (jour de la chirurgie);"Tobramycine 200 mg per os (dose unique) + Métronidazole 1 g per os (dose unique) la veille ; 2 g IVL (Céfoxitine) initialement, puis 1 g si durée > 2h, toutes les 2h";Gentamicine 6–7 mg/kg IVL + Métronidazole 1 g IVL;Respectivement 6–7 mg/kg IVL + 1 g IVL;DIGESTIVE;FAIBLE;STANDARD;2;1;STANDARD;AUCUNE;APD
DIG-INT-04;Amputation abdomino-périnéale;;Tobramycine + Métronidazole (veille au soir), Céfoxitine (jour de la chirurgie);"Tobramycine 200 mg per os (dose unique) + Métronidazole 1 g per os (dose unique) la veille ; 2 g IVL (Céfoxitine) initialement, puis 1 g si durée > 2h, toutes les 2h";Gentamicine 6–7 mg/kg IVL + Métronidazole 1 g IVL;Respectivement 6–7 mg/kg IVL + 1 g IVL;DIGESTIVE;IMPORTANT;STANDARD;2;1;STANDARD;AUCUNE;APD
DIG-INT-05;Proctectomie;;Tobramycine + Métronidazole (veille au soir), Céfoxitine (jour de la chirurgie);"Tobramycine 200 mg per os (dose unique) + Métronidazole 1 g per os (dose unique) la veille ; 2 g IVL (Céfoxitine) initialement, puis 1 g si durée > 2h, toutes les 2h";Gentamicine 6–7 mg/kg IVL + Métronidazole 1 g IVL;Respectivement 6–7 mg/kg IVL + 1 g IVL;DIGESTIVE;IMPORTANT;STANDARD;2;1;STANDARD;AUCUNE;APD
DIG-INT-06;Rétablissement de continuité;;Tobramycine + Métronidazole (veille au soir), Céfoxitine (jour de la chirurgie);"Tobramycine 200 mg per os (dose unique) + Métronidazole 1 g per os (dose unique) la veille ; 2 g IVL (Céfoxitine) initialement, puis 1 g si durée > 2h, toutes les 2h";Gentamicine 6–7 mg/kg IVL + Métronidazole 1 g IVL;Respectivement 6–7 mg/kg IVL + 1 g IVL;DIGESTIVE;FAIBLE;STANDARD;1;1;STANDARD;AUCUNE;APD
DIG-INT-07;Appendicectomie programmée;;Céfoxitine;2 g IVL initialement, puis 1 g si durée > 2h, toutes les 2h;Gentamicine 6–7 mg/kg IVL + Métronidazole 1 g IVL;Respectivement 6–7 mg/kg IVL + 1 g IVL;DIGESTIVE;FAIBLE;STANDARD;1;1;STANDARD;AUCUNE;AUCUNE
DIG-INT-08;Hémorroïdes;faible;Métronidazole;1 g IVL (dose unique);Clindamycine 900 mg IVL;900 mg;DIGESTIVE;FAIBLE;STANDARD;1;1;STANDARD;AUCUNE;BNP
DIG-INT-09;Kyste pilonidal;faible;Métronidazole;1 g IVL (dose unique);Clindamycine 900 mg IVL;900 mg;DIGESTIVE;FAIBLE;STANDARD;1;1;STANDARD;AUCUNE;LOCALE
DIG-INT-10;Fistule anale;faible;Métronidazole;1 g IVL (dose unique);Clindamycine 900 mg IVL;900 mg;DIGESTIVE;FAIBLE;STANDARD;1;1;STANDARD;AUCUNE;LOCALE
DIG-HEP-01;Cholécystectomie élective par laparoscopie (patients à haut risque);;Céfazoline / Céfuroxime;"2 g IVL (Céfazoline) initialement, puis 1 g si durée > 4h, toutes les 4h ; 1,5 g IVL (Céfuroxime) initialement, puis 0,75 g si durée > 2h, toutes les 2h";Vancomycine ou Téicoplanine;Respectivement 20 mg/kg IVL / 12 mg/kg IVL;DIGESTIVE;FAIBLE;STANDARD;1;1;STANDARD;AUCUNE;AUCUNE
DIG-HEP-02;Cholécystectomie élective par laparoscopie (patients à faible risque);faible;PAS D'ANTIBIOPROPHYLAXIE;N/A;N/A;N/A;DIGESTIVE;FAIBLE;STANDARD;1;1;STANDARD;AUCUNE;AUCUNE
DIG-HEP-03;Cholécystectomie, par laparotomie;;Céfazoline / Céfuroxime;"2 g IVL (Céfazoline) initialement, puis 1 g si durée > 4h, toutes les 4h ; 1,5 g IVL (Céfuroxime) initialement, puis 0,75 g si durée > 2h, toutes les 2h";Vancomycine ou Téicoplanine;Respectivement 20 mg/kg IVL / 12 mg/kg IVL;DIGESTIVE;FAIBLE;STANDARD;1;1;STANDARD;AUCUNE;AUCUNE
DIG-HEP-04;Cholécystectomie avec ablation transcystique de calcul de la voie biliaire principale;;Céfazoline / Céfuroxime;"2 g IVL (Céfazoline) initialement, puis 1 g si durée > 4h, toutes les 4h ; 1,5 g IVL (Céfuroxime) initialement, puis 0,75 g si durée > 2h, toutes les 2h";Vancomycine ou Téicoplanine;Respectivement 20 mg/kg IVL / 12 mg/kg IVL;DIGESTIVE;FAIBLE;STANDARD;1;1;STANDARD;AUCUNE;AUCUNE
DIG-HEP-05;Cholécystectomie avec ablation de calcul de la voie biliaire principale par choledocotomie;;Céfazoline / Céfuroxime;"2 g IVL (Céfazoline) initialement, puis 1 g si durée > 4h, toutes les 4h ; 1,5 g IVL (Céfuroxime) initialement, puis 0,75 g si durée > 2h, toutes les 2h";Vancomycine ou Téicoplanine;Respectivement 20 mg/kg IVL / 12 mg/kg IVL;DIGESTIVE;FAIBLE;STANDARD;1;1;STANDARD;AUCUNE;AUCUNE
DIG-HEP-06;Ablation de calcul de la voie biliaire principale, par laparoscopie ou laparotomie;;Céfazoline / Céfuroxime;"2 g IVL (Céfazoline) initialement, puis 1 g si durée > 4h, toutes les 4h ; 1,5 g IVL (Céfuroxime) initialement, puis 0,75 g si durée > 2h, toutes les 2h";Vancomycine ou Téicoplanine;Respectivement 20 mg/kg IVL / 12 mg/kg IVL;DIGESTIVE;FAIBLE;STANDARD;1;1;STANDARD;AUCUNE;AUCUNE
DIG-HEP-07;Cholécystectomie avec choledoco-jéjunostomie;;Céfoxitine;2 g IVL initialement, puis 1 g si durée > 2h, toutes les 2h;Gentamicine + Métronidazole;Respectivement 6–7 mg/kg IVL + 1 g IVL;DIGESTIVE;FAIBLE;STANDARD;2;1;STANDARD;AUCUNE;AUCUNE
DIG-HEP-08;Résection de la voie biliaire principale pédiculaire avec anastomose bilio-digestive, par laparotomie;;Céfoxitine;2 g IVL initialement, puis 1 g si durée > 2h, toutes les 2h;Gentamicine + Métronidazole;Respectivement 6–7 mg/kg IVL + 1 g IVL;DIGESTIVE;IMPORTANT;STANDARD;2;1;STANDARD;AUCUNE;AUCUNE
DIG-HEP-09;Hépatectomie sans chirurgie des voies biliaires;;Céfazoline / Céfuroxime;"2 g IVL (Céfazoline) initialement, puis 1 g si durée > 4h, toutes les 4h ; 1,5 g IVL (Céfuroxime) initialement, puis 0,75 g si durée > 2h, toutes les 2h";Vancomycine ou Téicoplanine;Respectivement 20 mg/kg IVL / 12 mg/kg IVL;DIGESTIVE;IMPORTANT;STANDARD;2;1;STANDARD;AUCUNE;APD
DIG-HEP-10;Chirurgie des kystes hépatiques simples;;PAS D'ANTIBIOPROPHYLAXIE;N/A;N/A;N/A;DIGESTIVE;FAIBLE;STANDARD;1;1;STANDARD;AUCUNE;AUCUNE
DIG-HEP-11;Splénectomie;;Céfazoline / Céfuroxime;"2 g IVL (Céfazoline) initialement, puis 1 g si durée > 4h, toutes les 4h ; 1,5 g IVL (Céfuroxime) initialement, puis 0,75 g si durée > 2h, toutes les 2h";Vancomycine ou Téicoplanine;Respectivement 20 mg/kg IVL / 12 mg/kg IVL;DIGESTIVE;FAIBLE;STANDARD;1;1;STANDARD;AUCUNE;AUCUNE
DIG-HEP-12;Chirurgie pancréatique;;Céfazoline / Céfuroxime;"2 g IVL (Céfazoline) initialement, puis 1 g si durée > 4h, toutes les 4h ; 1,5 g IVL (Céfuroxime) initialement, puis 0,75 g si durée > 2h, toutes les 2h";Vancomycine ou Téicoplanine;Respectivement 20 mg/kg IVL / 12 mg/kg IVL;DIGESTIVE;IMPORTANT;RENFORCE;2;1;STANDARD;AUCUNE;AUCUNE
DIG-HEP-13;Duodéno-pancréatectomie céphalique (DPC) sans geste de drainage biliaire préopératoire;;Céfoxitine;2 g IVL initialement, puis 1 g si durée > 2h, toutes les 2h;Gentamicine + Métronidazole;Respectivement 6–7 mg/kg IVL + 1 g IVL;DIGESTIVE;MAJEUR;RENFORCE;3;1;STANDARD;AUCUNE;APD
DIG-HEP-14;Duodéno-pancréatectomie totale (DPT) sans geste de drainage biliaire préopératoire;;Céfoxitine;2 g IVL initialement, puis 1 g si durée > 2h, toutes les 2h;Gentamicine + Métronidazole;Respectivement 6–7 mg/kg IVL + 1 g IVL;DIGESTIVE;MAJEUR;RENFORCE;3;1;STANDARD;AUCUNE;APD
DIG-HEP-15;"DPC ou DPT pour ampullome ou avec
antécédent de drainage biliaire ou de
sphinctérotomie préopératoires";;"Pipéracilline +
Tazobactam";"4g si durée > 4h,
puis toutes les 4h
jusqu’à fin de
chirurgie";Gentamicine + Métronidazole;Respectivement 6–7 mg/kg IVL + 1 g IVL;DIGESTIVE;MAJEUR;STANDARD;3;1;STANDARD;AUCUNE;APD
DIG-HEP-16;Transplantation de foie total;;Céfoxitine;2 g IVL initialement, puis 1 g si durée > 2h, toutes les 2h;Gentamicine + Métronidazole;Respectivement 6–7 mg/kg IVL + 1 g IVL;DIGESTIVE;MAJEUR;STANDARD;3;1;ARMEE;AUCUNE;AUCUNE
DIG-HEP-17; Transplantation de foie réduit;;Céfoxitine;2 g IVL initialement, puis 1 g si durée > 2h, toutes les 2h;Gentamicine + Métronidazole;Respectivement 6–7 mg/kg IVL + 1 g IVL;DIGESTIVE;MAJEUR;STANDARD;3;1;ARMEE;AUCUNE;AUCUNE
DIG-HEP-18;Transplantation du pancréas;;Céfoxitine;2 g IVL initialement, puis 1 g si durée > 2h, toutes les 2h;Gentamicine + Métronidazole;Respectivement 6–7 mg/kg IVL + 1 g IVL;DIGESTIVE;MAJEUR;STANDARD;3;1;STANDARD;AUCUNE;AUCUNE
DIG-HEP-19; Transplantation du pancréas et du rein;;Céfoxitine;2 g IVL initialement, puis 1 g si durée > 2h, toutes les 2h;Gentamicine + Métronidazole;Respectivement 6–7 mg/kg IVL + 1 g IVL;DIGESTIVE;MAJEUR;STANDARD;3;1;STANDARD;AUCUNE;AUCUNE
DIG-HER-01;"Cure de hernie inguinale et crurale avec
prothèse (voie ouverte ou laparoscopique)";faible;Céfazoline / Céfuroxime;"2 g IVL (Céfazoline) initialement, puis 1 g si durée > 4h, toutes les 4h ; 1,5 g IVL (Céfuroxime) initialement, puis 0,75 g si durée > 2h, toutes les 2h";Vancomycine ou Téicoplanine;Respectivement 20 mg/kg IVL / 12 mg/kg IVL;DIGESTIVE;FAIBLE;STANDARD;1;1;STANDARD;AUCUNE;RA
DIG-HER-02;Cure de hernie de l’aine sans prothèse;faible;PAS D'ANTIBIOPROPHYLAXIE;;;;DIGESTIVE;FAIBLE;STANDARD;1;1;STANDARD;AUCUNE;RA
END-CPR-01;Cholangiographie;faible;PAS D'ANTIBIOPROPHYLAXIE;;;;ENDO_DIGESTIVE;FAIBLE;STANDARD;1;1;VS;AUCUNE;LOCALE+SEDATION
END-CPR-02;Pancréatographie;faible;PAS D'ANTIBIOPROPHYLAXIE;;;;ENDO_DIGESTIVE;FAIBLE;STANDARD;1;1;VS;AUCUNE;LOCALE+SEDATION
END-CPR-03;Dilatation et pose de prothèses biliaires ou pancréatiques avec drainage complet;faible;PAS D'ANTIBIOPROPHYLAXIE;;;;ENDO_DIGESTIVE;FAIBLE;STANDARD;1;1;VS;AUCUNE;LOCALE+SEDATION
END-CPR-04;"Extraction de calculs biliaires ou
pancréatiques, avec ou sans lithotritie
mécanique, avec drainage biliaire complet
satisfaisant";faible;PAS D'ANTIBIOPROPHYLAXIE;;;;ENDO_DIGESTIVE;FAIBLE;STANDARD;1;1;VS;AUCUNE;LOCALE+SEDATION
END-ECH-01;"Ponction de lésion tissulaire pancréatique ou
extra pancréatique, para-oesophagienne,
para-gastrique, para-duodénale ou pararectale*";;PAS D'ANTIBIOPROPHYLAXIE;;;;ENDO_DIGESTIVE;FAIBLE;STANDARD;1;1;VS;AUCUNE;LOCALE+SEDATION
END-ECH-02;"Ponction de lésion kystique pancréatique sans
facteur de risque d’infection";;PAS D'ANTIBIOPROPHYLAXIE;;;;ENDO_DIGESTIVE;FAIBLE;STANDARD;1;1;VS;AUCUNE;LOCALE+SEDATION
END-ECH-03;"Ponction de lésion kystique pancréatique avec
facteur(s) de risque d’infection liés au geste
endoscopique (saignement intra-kystique,
absence de vidange complète de la lésion
kystique après ponction) et/ou au patient
(contexte d’immunosuppression, ou haut
risque d’endocardite infectieuse)";;Céfoxitine;2 g IVL initialement, puis 1 g si durée > 2h, toutes les 2h;Gentamicine + Métronidazole;Respectivement 6–7 mg/kg IVL + 1 g IVL;ENDO_DIGESTIVE;FAIBLE;STANDARD;1;1;VS;AUCUNE;LOCALE+SEDATION
END-ECH-04;Kysto-gastrostomie;faible;Céfoxitine;2 g IVL initialement, puis 1 g si durée > 2h, toutes les 2h;Gentamicine + Métronidazole;Respectivement 6–7 mg/kg IVL + 1 g IVL;ENDO_DIGESTIVE;FAIBLE;STANDARD;1;1;VS;AUCUNE;LOCALE+SEDATION
END-ECH-05;"Ponction de liquide d’ascite, avec ou sans
ponction de nodule péritonéal perendoscopique
(i.e. à travers le tube digestif)";faible;Céfoxitine;2 g IVL initialement, puis 1 g si durée > 2h, toutes les 2h;Gentamicine + Métronidazole;Respectivement 6–7 mg/kg IVL + 1 g IVL;ENDO_DIGESTIVE;FAIBLE;STANDARD;1;1;VS;AUCUNE;LOCALE+SEDATION
