ID;Sous-groupe;Intervention Chirurgicale;SPECIALITE;Risque H AOD - AVK;Risque H AAP;stress chir cortico
RI-ACC-06;Accès vasculaire;Procédures portales complexes (TIPS, ponction portale, recanalisation);RADIOLOGIE INTERVENTIONNELLE;ELEVE;INTERMEDIAIRE;NON FAIBLE
RI-BIO-01;Biopsie;Biopsie hépatique percutanée;RADIOLOGIE INTERVENTIONNELLE;ELEVE;INTERMEDIAIRE;FAIBLE
RI-BIO-02;Biopsie;Biopsie hépatique transjugulaire (PBH);;FAIBLE;FAIBLE;FAIBLE
RI-BIO-02;Biopsie;Biopsie rénale percutanée;RADIOLOGIE INTERVENTIONNELLE;ELEVE;INTERMEDIAIRE;FAIBLE
RI-BIO-03;Biopsie;Biopsie pulmonaire profonde / pleurale sous TDM;RADIOLOGIE INTERVENTIONNELLE;ELEVE;INTERMEDIAIRE;FAIBLE
RI-BIO-04;Biopsie;Biopsie osseuse profonde (rachis, bassin);RADIOLOGIE INTERVENTIONNELLE;ELEVE;INTERMEDIAIRE;FAIBLE
RI-BIO-05;Biopsie;Biopsies superficielles (thyroïde, sein, ganglion superficiel, parties molles);RADIOLOGIE INTERVENTIONNELLE;FAIBLE;FAIBLE;FAIBLE
RI-DRA-01;Drainage;Ponctions / drainages d’abcès superficiels;RADIOLOGIE INTERVENTIONNELLE;FAIBLE;FAIBLE;FAIBLE
RI-DRA-02;Drainage;Drainage d’abcès profonds (hépatique, rétropéritonéal, pelvien…);RADIOLOGIE INTERVENTIONNELLE;ELEVE;INTERMEDIAIRE;NON FAIBLE
RI-DRA-03;Drainage;Néphrostomie percutanée;RADIOLOGIE INTERVENTIONNELLE;ELEVE;INTERMEDIAIRE;FAIBLE
RI-DRA-04;Drainage;Drainage biliaire percutané (transhépatique);RADIOLOGIE INTERVENTIONNELLE;ELEVE;INTERMEDIAIRE;NON FAIBLE
RI-EMB-01;Embolisation;Embolisation artérielle thérapeutique (hémorragie, TACE, fibromes, prostate…);RADIOLOGIE INTERVENTIONNELLE;ELEVE;INTERMEDIAIRE;NON FAIBLE
RI-EMB-02;Embolisation;Embolisation splénique;RADIOLOGIE INTERVENTIONNELLE;ELEVE;INTERMEDIAIRE;NON FAIBLE
RI-INF-01;Infiltration;Infiltration articulaire périphérique;RADIOLOGIE INTERVENTIONNELLE;FAIBLE;FAIBLE;FAIBLE
RI-INF-02;Infiltration;Infiltration rachidienne si articulaire postérieur;RADIOLOGIE INTERVENTIONNELLE;FAIBLE;FAIBLE;FAIBLE
RI-INF-03;Infiltration;Infiltration rachidienne si épidurale;RADIOLOGIE INTERVENTIONNELLE;TRES ELEVE;TRES ELEVE;FAIBLE
RHUM-BIO-01;Biopsie;Biopsie des glandes salivaires accessoires;RHUMATOLOGIE;FAIBLE;INTERMEDIAIRE;FAIBLE
RHUM-BIO-02;Biopsie;Biopsie synoviale;RHUMATOLOGIE;ELEVE;INTERMEDIAIRE;FAIBLE
RHUM-BIO-03;Biopsie;Biopsie d’artère temporale;RHUMATOLOGIE;ELEVE;INTERMEDIAIRE;FAIBLE
RHUM-BIO-04;Biopsie;Biopsie musculaire;RHUMATOLOGIE;ELEVE;INTERMEDIAIRE;FAIBLE
RHUM-BIO-05;Biopsie;Biopsie osseuse;RHUMATOLOGIE;ELEVE;INTERMEDIAIRE;FAIBLE
RHUM-CHI-01;Chirurgie;Aponévrotomie palmaire;RHUMATOLOGIE;FAIBLE;INTERMEDIAIRE;FAIBLE
RHUM-CHI-02;Chirurgie;Aponévrotomie digitale;RHUMATOLOGIE;ELEVE;INTERMEDIAIRE;FAIBLE
RHUM-RAC-01;Gestes rachidiens;Ponction lombaire;RHUMATOLOGIE;TRES ELEVE;TRES ELEVE;FAIBLE
RHUM-RAC-02;Gestes rachidiens;Blood patch;RHUMATOLOGIE;TRES ELEVE;TRES ELEVE;FAIBLE
RHUM-RAC-03;Gestes rachidiens;Ponction-Infiltration rachidienne épidurale;RHUMATOLOGIE;TRES ELEVE;TRES ELEVE;FAIBLE
RHUM-RAC-04;Gestes rachidiens;Neurotomie par radiofréquence;RHUMATOLOGIE;TRES ELEVE;TRES ELEVE;FAIBLE
RHUM-RAC-05;Gestes rachidiens;Vertébroplastie/Kyphoplastie;RHUMATOLOGIE;TRES ELEVE;TRES ELEVE;NON FAIBLE
RHUM-RAC-06;Gestes rachidiens;Ponction Biopsie disco vertébrale;RHUMATOLOGIE;TRES ELEVE;TRES ELEVE;FAIBLE
RHUM-RAC-07;Gestes rachidiens;Infiltration canalaire profonde;RHUMATOLOGIE;TRES ELEVE;TRES ELEVE;FAIBLE
RHUM-INJ-01;Infiltration / injection;Ponction-Infiltration articulaire postérieure;RHUMATOLOGIE;FAIBLE;FAIBLE;FAIBLE
RHUM-INJ-02;Infiltration / injection;Infiltration de la branche médiale du rameau postérieur;RHUMATOLOGIE;FAIBLE;INTERMEDIAIRE;FAIBLE
RHUM-INJ-03;Infiltration / injection;Ponction-infiltration des articulations périphériques hors coxo-fémorales;RHUMATOLOGIE;FAIBLE;FAIBLE;FAIBLE
RHUM-INJ-04;Infiltration / injection;Infiltration des sacro iliaques;RHUMATOLOGIE;FAIBLE;FAIBLE;FAIBLE
RHUM-INJ-05;Infiltration / injection;Infiltrations périarticulaires;RHUMATOLOGIE;FAIBLE;FAIBLE;FAIBLE
RHUM-INJ-06;Infiltration / injection;Infiltration canalaire superficielle sous guidage;RHUMATOLOGIE;FAIBLE;FAIBLE;FAIBLE
RHUM-INJ-07;Infiltration / injection;Infiltration de poulie;RHUMATOLOGIE;FAIBLE;FAIBLE;FAIBLE
RHUM-INJ-08;Infiltration / injection;Injection sous cutanée;RHUMATOLOGIE;FAIBLE;FAIBLE;FAIBLE
RHUM-INJ-09;Infiltration / injection;Injection intra-musculaire dont toxines botuliques sur site superficiel;RHUMATOLOGIE;FAIBLE;FAIBLE;FAIBLE
RHUM-INJ-10;Infiltration / injection;Acupuncture;RHUMATOLOGIE;FAIBLE;FAIBLE;FAIBLE
RHUM-INJ-11;Infiltration / injection;Ponction-infiltration des articulations coxo-fémorales;RHUMATOLOGIE;ELEVE;INTERMEDIAIRE;FAIBLE
RHUM-INJ-12;Infiltration / injection;Trituration d’une articulation périphérique;RHUMATOLOGIE;ELEVE;INTERMEDIAIRE;FAIBLE
RHUM-INJ-13;Infiltration / injection;Infiltration canalaire superficielle à l’aveugle;RHUMATOLOGIE;ELEVE;FAIBLE;FAIBLE
RHUM-INJ-14;Infiltration / injection;Injection intra musculaire dont toxines botuliques sur site profond;RHUMATOLOGIE;ELEVE;FAIBLE;FAIBLE
THO-RES-01;Résection pulmonaire;Pneumonectomies ou lobectomies pulmonaires;THORACIQUE;ELEVE;INTERMEDIAIRE;NON FAIBLE
THO-RES-02;Résection pulmonaire;Pleuro-pneumonectomies;THORACIQUE;ELEVE;INTERMEDIAIRE;NON FAIBLE
THO-RES-03;Résection pulmonaire;Exérèses partielles non anatomiques simples ou multiples du poumon;THORACIQUE;ELEVE;INTERMEDIAIRE;NON FAIBLE
THO-RES-04;Résection pulmonaire;Segmentectomie pulmonaire unique ou multiple;THORACIQUE;ELEVE;INTERMEDIAIRE;NON FAIBLE
THO-RES-05;Résection pulmonaire;Réduction uni- ou bilatérale de volume pulmonaire;THORACIQUE;ELEVE;INTERMEDIAIRE;NON FAIBLE
THO-RES-06;Résection pulmonaire;Résection de bulle d'emphysème pulmonaire;THORACIQUE;ELEVE;INTERMEDIAIRE;NON FAIBLE
THO-RES-07;Résection pulmonaire;Exérèse de kyste hydatique du poumon;THORACIQUE;ELEVE;INTERMEDIAIRE;NON FAIBLE
THO-RES-08;Résection pulmonaire;Transplantation mono ou bipulmonaire avec ou sans circulation extra-corporelle;THORACIQUE;ELEVE;INTERMEDIAIRE;NON FAIBLE
THO-MED-01;Médiastin;Chirurgie du médiastin;THORACIQUE;ELEVE;INTERMEDIAIRE;NON FAIBLE
THO-MED-02;Médiastin;Médiastinoscopie avec ou sans biopsie;THORACIQUE;ELEVE;INTERMEDIAIRE;NON FAIBLE
THO-PLR-01;Plèvre / paroi thoracique;Chirurgie du pneumothorax;THORACIQUE;ELEVE;INTERMEDIAIRE;NON FAIBLE
THO-PLR-02;Plèvre / paroi thoracique;Chirurgie de la plèvre (patient non infecté);THORACIQUE;ELEVE;INTERMEDIAIRE;NON FAIBLE
THO-PLR-03;Plèvre / paroi thoracique;Chirurgie de paroi thoracique (avec ou sans pose de matériel);THORACIQUE;ELEVE;INTERMEDIAIRE;NON FAIBLE
THO-PLR-04;Plèvre / paroi thoracique;Thoracoscopie / pleuroscopie, avec ou sans biopsie, abrasion ou talcage;THORACIQUE;ELEVE;INTERMEDIAIRE;NON FAIBLE
THO-END-01;Endoscopie thoracique / radio interv.;Pose de prothèse endo-bronchique ou trachéale;THORACIQUE;ELEVE;INTERMEDIAIRE;NON FAIBLE
THO-END-02;Endoscopie thoracique / radio interv.;Destruction de tumeurs bronchopulmonaires par radiofréquence guidée par scanner;THORACIQUE;ELEVE;INTERMEDIAIRE;NON FAIBLE
THO-END-03;Endoscopie thoracique / radio interv.;Biopsie pulmonaire par voie transcutanée;THORACIQUE;ELEVE;INTERMEDIAIRE;FAIBLE
THO-END-04;Endoscopie thoracique / radio interv.;Radiologie interventionnelle des voies respiratoires ou du poumon;THORACIQUE;ELEVE;INTERMEDIAIRE;NON FAIBLE
THO-END-05;Endoscopie thoracique / radio interv.;Fibroscopie ou écho-endoscopie diagnostique;THORACIQUE;FAIBLE;FAIBLE;FAIBLE
THO-END-05b;Endoscopie thoracique / radio interv.;Fibroscopie bronchique avec aspiration bronchique (LBA) ou brosse à visée bactériologique;THORACIQUE;FAIBLE;FAIBLE;FAIBLE
THO-END-05c;Endoscopie thoracique / radio interv.;Fibroscopie bronchique avec biopsie / ponction / prélèvements cytologiques;THORACIQUE;ELEVE;INTERMEDIAIRE;FAIBLE
THO-END-06;Endoscopie thoracique / radio interv.;Pose de prothèse endo-bronchique, trachéale ou mise en place de valves unidirectionnelle;THORACIQUE;ELEVE;INTERMEDIAIRE;NON FAIBLE
THO-END-07;Endoscopie thoracique / radio interv.;Endoscopie thérapeutique : dilatation, laser;THORACIQUE;ELEVE;INTERMEDIAIRE;NON FAIBLE
THO-TRA-01;Trachée / bronche (chirurgie ouverte);Trachéotomie chirurgicale;THORACIQUE;ELEVE;INTERMEDIAIRE;NON FAIBLE
THO-TRA-02;Trachée / bronche (chirurgie ouverte);Suture ou résection-anastomose de bronche (cervicotomie ou thoracotomie);THORACIQUE;ELEVE;INTERMEDIAIRE;NON FAIBLE
THO-TRA-03;Trachée / bronche (chirurgie ouverte);Plastie ou fermeture d'orifice de trachéostomie ou trachéotomie;THORACIQUE;ELEVE;INTERMEDIAIRE;NON FAIBLE
THO-TRA-04;Trachée / bronche (chirurgie ouverte);Tuteur trachéal (cervicotomie);THORACIQUE;ELEVE;INTERMEDIAIRE;NON FAIBLE
THO-TRA-05;Trachée / bronche (chirurgie ouverte);Plastie de trachée par autogreffe ou lambeau;THORACIQUE;ELEVE;INTERMEDIAIRE;NON FAIBLE
THO-TRA-06;Trachée / bronche (chirurgie ouverte);Remplacement de trachée par prothèse;THORACIQUE;ELEVE;INTERMEDIAIRE;NON FAIBLE
THO-TRA-07;Trachée / bronche (chirurgie ouverte);Résection-anastomose de trachée ou de bifurcation trachéale;THORACIQUE;ELEVE;INTERMEDIAIRE;NON FAIBLE
THO-OES-01;Œsophage;Chirurgie œsophagienne (œsophagectomie, excision de tumeur, traitement de diverticule);THORACIQUE;ELEVE;INTERMEDIAIRE;NON FAIBLE
URO-PRO-01;Prostate;Biopsie prostatique transrectale;UROLOGIE;ELEVE;INTERMEDIAIRE;FAIBLE
URO-PRO-02;Prostate;Biopsie prostatique transpérinéale;UROLOGIE;ELEVE;INTERMEDIAIRE;FAIBLE
URO-PRO-03;Prostate;RTUP / incision cervico-prostatique;UROLOGIE;ELEVE;INTERMEDIAIRE;NON FAIBLE
URO-PRO-04;Prostate;Énucléation prostatique (HoLEP, ThuLEP, GreenLEP, BIPOLEP) / photovaporisation;UROLOGIE;ELEVE;INTERMEDIAIRE;NON FAIBLE
URO-PRO-05;Prostate;Traitements mini-invasifs HBP (UROLIFT, REZUM, HIFU, embolisation artères prostatiques);UROLOGIE;ELEVE;INTERMEDIAIRE;FAIBLE
URO-PRO-06;Prostate;Prostatectomie totale;UROLOGIE;ELEVE;INTERMEDIAIRE;NON FAIBLE
URO-PRO-07;Prostate;Curiethérapie;UROLOGIE;ELEVE;INTERMEDIAIRE;FAIBLE
URO-VES-01;Vessie / urètre;Cystoscopie diagnostique;UROLOGIE;FAIBLE;FAIBLE;FAIBLE
URO-VES-02;Vessie / urètre;Urétrocystoscopie;UROLOGIE;FAIBLE;FAIBLE;FAIBLE
URO-VES-03;Vessie / urètre;Instillations endo-vésicales;UROLOGIE;FAIBLE;INTERMEDIAIRE;FAIBLE
URO-VES-04;Vessie / urètre;Injection intradétrusorienne de toxine botulique;UROLOGIE;ELEVE;INTERMEDIAIRE;FAIBLE
URO-VES-05;Vessie / urètre;Injection de macroplastique;UROLOGIE;ELEVE;INTERMEDIAIRE;FAIBLE
URO-VES-06;Vessie / urètre;RTUV (résection trans-urétrale de vessie);UROLOGIE;ELEVE;INTERMEDIAIRE;NON FAIBLE
URO-VES-07;Vessie / urètre;Urétrotomie / urétroplastie;UROLOGIE;ELEVE;INTERMEDIAIRE;NON FAIBLE
URO-VES-08;Vessie / urètre;Cystectomie sus-trigonale partielle ou totale (quel que soit le mode de dérivation);UROLOGIE;ELEVE;INTERMEDIAIRE;NON FAIBLE
URO-INC-01;Incontinence / prolapsus;Cure d'incontinence urinaire;UROLOGIE;ELEVE;INTERMEDIAIRE;NON FAIBLE
URO-INC-02;Incontinence / prolapsus;Cure de prolapsus (quelle que soit la voie d'abord, avec ou sans matériel);UROLOGIE;ELEVE;INTERMEDIAIRE;NON FAIBLE
URO-SCR-01;Scrotal / génital masculin;Injections intra-caverneuses;UROLOGIE;FAIBLE;INTERMEDIAIRE;FAIBLE
URO-SCR-02;Scrotal / génital masculin;Chirurgie scrotale ou inguinale (dont vasectomie);UROLOGIE;ELEVE;INTERMEDIAIRE;FAIBLE
URO-SCR-03;Scrotal / génital masculin;Pose de prothèse pénienne;UROLOGIE;ELEVE;INTERMEDIAIRE;NON FAIBLE
URO-SCR-04;Scrotal / génital masculin;Pose de prothèse testiculaire;UROLOGIE;ELEVE;INTERMEDIAIRE;FAIBLE
URO-SCR-05;Scrotal / génital masculin;Chirurgie scrotale ou de la verge sans prothèse;UROLOGIE;ELEVE;INTERMEDIAIRE;FAIBLE
URO-SCR-06;Scrotal / génital masculin;Chirurgie périnéale (urètre, pénectomie, sphincter homme, implant pénien);UROLOGIE;ELEVE;INTERMEDIAIRE;NON FAIBLE
URO-HAU-01;Voies urinaires hautes (uretère, rein);Sonde JJ ou urétérale : pose / changement / ablation;UROLOGIE;FAIBLE;INTERMEDIAIRE;FAIBLE
URO-HAU-02;Voies urinaires hautes (uretère, rein);Pose de sonde de néphrostomie;UROLOGIE;ELEVE;INTERMEDIAIRE;FAIBLE
URO-HAU-02b;Voies urinaires hautes (uretère, rein);Changement de sonde de néphrostomie;UROLOGIE;FAIBLE;INTERMEDIAIRE;FAIBLE
URO-HAU-03;Voies urinaires hautes (uretère, rein);Urétéroscopie diagnostique et/ou thérapeutique;UROLOGIE;ELEVE;INTERMEDIAIRE;NON FAIBLE
URO-HAU-04;Voies urinaires hautes (uretère, rein);Néphrostomie percutanée;UROLOGIE;ELEVE;INTERMEDIAIRE;FAIBLE
URO-HAU-05;Voies urinaires hautes (uretère, rein);Néphrolithotomie percutanée (NLPC);UROLOGIE;ELEVE;INTERMEDIAIRE;NON FAIBLE
URO-HAU-06;Voies urinaires hautes (uretère, rein);Lithotritie extracorporelle;UROLOGIE;ELEVE;INTERMEDIAIRE;FAIBLE
URO-HAU-07;Voies urinaires hautes (uretère, rein);Biopsie rénale;UROLOGIE;ELEVE;INTERMEDIAIRE;FAIBLE
URO-HAU-08;Voies urinaires hautes (uretère, rein);Néphrectomie totale ou partielle;UROLOGIE;ELEVE;INTERMEDIAIRE;NON FAIBLE
URO-HAU-09;Voies urinaires hautes (uretère, rein);Surrénalectomie;UROLOGIE;ELEVE;INTERMEDIAIRE;NON FAIBLE
URO-HAU-10;Voies urinaires hautes (uretère, rein);Embolisation des artères rénales;UROLOGIE;ELEVE;INTERMEDIAIRE;NON FAIBLE
URO-HAU-11;Voies urinaires hautes (uretère, rein);Thermoablation de tumeur rénale;UROLOGIE;ELEVE;INTERMEDIAIRE;NON FAIBLE
URO-HAU-12;Voies urinaires hautes (uretère, rein);Transplantation rénale;UROLOGIE;ELEVE;INTERMEDIAIRE;NON FAIBLE
URO-HAU-13;Voies urinaires hautes (uretère, rein);Chirurgie abdominale ou rétropéritonéale (ouverte ou coelioscopique);UROLOGIE;ELEVE;INTERMEDIAIRE;NON FAIBLE
URO-SON-01;Sondages / instillations;Sondage urétral;UROLOGIE;FAIBLE;FAIBLE;FAIBLE
URO-SON-02;Sondages / instillations;Changement de cystostomie / sonde de néphrostomie;UROLOGIE;FAIBLE;INTERMEDIAIRE;FAIBLE
URO-DRA-01;Drainage;Drainage d'une collection superficielle;UROLOGIE;FAIBLE;INTERMEDIAIRE;FAIBLE
URO-DRA-02;Drainage;Drainage d'une collection profonde;UROLOGIE;ELEVE;INTERMEDIAIRE;NON FAIBLE
URO-NEU-01;Neuromodulation;Neuromodulation des racines sacrées (test, implantation, ablation électrode);UROLOGIE;ELEVE;INTERMEDIAIRE;FAIBLE
URO-NEU-02;Neuromodulation;Pose ou changement de cathéter de dialyse intrapéritonéale;UROLOGIE;ELEVE;INTERMEDIAIRE;FAIBLE
VASC-OUV-01;Chirurgie ouverte;Amputations mineures;VASCULAIRE;FAIBLE;INTERMEDIAIRE;FAIBLE
VASC-OUV-02;Chirurgie ouverte;Chirurgie artérielle périphérique ouverte;VASCULAIRE;ELEVE;INTERMEDIAIRE;NON FAIBLE
VASC-OUV-03;Chirurgie ouverte;Chirurgie aortique ouverte;VASCULAIRE;ELEVE;INTERMEDIAIRE;NON FAIBLE
VASC-OUV-04;Chirurgie ouverte;Chirurgie carotidienne avec mise en place de matériel;VASCULAIRE;ELEVE;INTERMEDIAIRE;NON FAIBLE
VASC-OUV-05;Chirurgie ouverte;Chirurgie carotidienne sans mise en place de matériel;VASCULAIRE;ELEVE;INTERMEDIAIRE;NON FAIBLE
VASC-OUV-06;Chirurgie ouverte;Chirurgie des varices avec abord du Scarpa;VASCULAIRE;ELEVE;INTERMEDIAIRE;NON FAIBLE
VASC-OUV-07;Chirurgie ouverte;Chirurgie des varices sans abord du Scarpa;VASCULAIRE;ELEVE;INTERMEDIAIRE;FAIBLE
VASC-OUV-08;Chirurgie ouverte;Création ou reprise de fistule artério-veineuse avec matériel;VASCULAIRE;ELEVE;INTERMEDIAIRE;NON FAIBLE
VASC-OUV-09;Chirurgie ouverte;Création ou reprise de fistule artério-veineuse sans matériel;VASCULAIRE;ELEVE;INTERMEDIAIRE;NON FAIBLE
VASC-OUV-10;Chirurgie ouverte;Abords pour hémodialyse;VASCULAIRE;ELEVE;INTERMEDIAIRE;FAIBLE
VASC-OUV-11;Chirurgie ouverte;Amputation majeure de membre (hors contexte septique);VASCULAIRE;ELEVE;INTERMEDIAIRE;NON FAIBLE
VASC-OUV-12;Chirurgie ouverte;Toute la chirurgie veineuse et artérielle ouverte;VASCULAIRE;ELEVE;INTERMEDIAIRE;NON FAIBLE
VASC-NEU-01;Neuro;Dérivation lombaire externe;VASCULAIRE;ELEVE;TRES ELEVE;NON FAIBLE
VASC-END-01;Endovasculaire;Procédures endoveineuses superficielles et profondes;VASCULAIRE;FAIBLE;FAIBLE;FAIBLE
VASC-END-02;Endovasculaire;Embolisations;VASCULAIRE;FAIBLE;FAIBLE;NON FAIBLE
VASC-END-03;Endovasculaire;Traitement endovasculaire des anévrysmes de l'aorte abdominale (EVAR);VASCULAIRE;ELEVE;FAIBLE;NON FAIBLE
VASC-END-04;Endovasculaire;Angioplasties artérielles périphériques;VASCULAIRE;ELEVE;FAIBLE;NON FAIBLE
VASC-END-05;Endovasculaire;Procédures avec stent couvert ou endoprothèse;VASCULAIRE;ELEVE;FAIBLE;NON FAIBLE
